order_id,date,product,category,price,quantity,city,customer
ECM0124,2024-10-21,Charger Fast Charging,Elektronik,51000.0,1.0,Malang,User4088
ECM0017,2024-08-05,Teh Celup Premium,Makanan,18000.0,2.0,Bandung,User2736
ECM0394,2024-09-16,Minyak Zaitun 250ml,Makanan,82000.0,2.0,Jakarta,User9224
ECM0466,2024-10-12,Topi Baseball,Fashion,40000.0,1.0,Kediri,User3666
ECM0337,2024-06-29,Topi Baseball,Fashion,35000.0,5.0,Surabaya,User7066
ECM0144,2025-01-26,Keyboard Mekanik,Elektronik,451000.0,4.0,Denpasar,User5485
ECM0282,2024-11-14,Keyboard Mekanik,Elektronik,344000.0,,Malang,User3148
ECM0272,2024-11-04,Charger Fast Charging,Elektronik,81000.0,3.0,Denpasar,User7759
ECM0407,2024-10-27,Keyboard Mekanik,Elektronik,275000.0,2.0,Denpasar,User3318
ECM0385,2024-09-15,Charger Fast Charging,Elektronik,105000.0,4.0,Malang,User5026
ECM0392,2024-10-22,Mouse Wireless,Elektronik,105000.0,2.0,Surabaya,User8220
ECM0028,2024-11-05,Set Peralatan Masak,Rumah Tangga,159000.0,1.0,Bandung,User2200
ECM0269,2024-06-27,Mouse Wireless,Elektronik,125000.0,3.0,Malang,User1726
ECM0005,2024-08-03,Charger Fast Charging,Elektronik,100000.0,1.0,Palembang,User2924
ECM0413,2024-10-21,Mouse Wireless,Elektronik,82000.0,2.0,Balikpapan,User6907
ECM0154,2024-11-24,Hoodie Unisex,Fashion,117000.0,2.0,Jakarta,User9093
ECM0454,2024-11-27,Mouse Wireless,Elektronik,120000.0,1.0,Malang,User3285
ECM0027,2024-09-15,Charger Fast Charging,Elektronik,51000.0,5.0,Kediri,User7930
ECM0285,2024-07-24,Set Peralatan Masak,Rumah Tangga,168000.0,3.0,Balikpapan,User9895
ECM0260,2024-06-01,Hoodie Unisex,Fashion,159000.0,5.0,Kediri,User7367
ECM0147,2024-12-22,Sandal Jepit,Fashion,21000.0,3.0,Denpasar,User6246
ECM0222,2024-09-11,Keyboard Mekanik,Elektronik,459000.0,3.0,Surabaya,User3173
ECM0045,2024-08-02,Granola Bar,Makanan,24000.0,2.0,Balikpapan,User1529
ECM0021,2024-08-24,Topi Baseball,Fashion,69000.0,3.0,Kediri,User9355
ECM0489,2024-12-26,Topi Baseball,Fashion,49000.0,3.0,Bandung,User9993
ECM0038,2024-10-14,Keyboard Mekanik,Elektronik,480000.0,2.0,Palembang,User5960
ECM0263,2024-08-01,Topi Baseball,Fashion,43000.0,1.0,Palembang,User7359
ECM0062,2024-12-28,Mouse Wireless,Elektronik,139000.0,4.0,Denpasar,User5393
ECM0034,2024-08-04,Lampu Meja LED,Rumah Tangga,58000.0,5.0,Surabaya,User8749
ECM0130,2024-07-30,Lampu Meja LED,Rumah Tangga,84000.0,5.0,Surabaya,User5740
ECM0432,2025-01-22,Case HP,Elektronik,38000.0,2.0,Malang,User2083
ECM0114,2024-11-12,Topi Baseball,Fashion,40000.0,4.0,Kediri,User7868
ECM0330,2024-11-03,Keyboard Mekanik,Elektronik,394000.0,2.0,Balikpapan,User3693
ECM0345,2025-01-24,Sandal Jepit,Fashion,27000.0,1.0,Malang,User2517
ECM0306,2024-10-20,Sandal Jepit,Fashion,46000.0,2.0,Bandung,User8972
ECM0497,2024-07-05,Mouse Wireless,Elektronik,99000.0,4.0,Balikpapan,User8211
ECM0140,2024-12-16,Granola Bar,Makanan,19000.0,4.0,Jakarta,User9026
ECM0494,2024-06-16,Teh Celup Premium,Makanan,27000.0,2.0,Denpasar,User2731
ECM0326,2024-06-22,Set Peralatan Masak,Rumah Tangga,286000.0,5.0,Balikpapan,User4527
ECM0166,2024-10-04,Teh Celup Premium,Makanan,38000.0,5.0,Balikpapan,User9922
ECM0319,2024-08-19,Keyboard Mekanik,Elektronik,332000.0,1.0,Denpasar,User5760
ECM0008,2024-11-27,Keyboard Mekanik,Elektronik,535000.0,2.0,Balikpapan,User4095
ECM0420,2024-09-11,Granola Bar,Makanan,27000.0,5.0,Jakarta,User3105
ECM0238,2024-09-29,Topi Baseball,Fashion,48000.0,3.0,Surabaya,User2093
ECM0116,2024-09-19,Case HP,Elektronik,33000.0,3.0,Bandung,User4851
ECM0190,2024-11-14,Keyboard Mekanik,Elektronik,347000.0,2.0,Palembang,User9931
ECM0396,2024-06-04,Charger Fast Charging,Elektronik,49000.0,3.0,Bandung,User5780
ECM0022,2024-10-06,Case HP,Elektronik,21000.0,3.0,Malang,User9398
ECM0015,2025-01-13,Granola Bar,Makanan,19000.0,2.0,Jakarta,User1974
ECM0372,2024-08-10,Hoodie Unisex,Fashion,189000.0,4.0,Bandung,User3856
ECM0429,2024-12-11,Mouse Wireless,Elektronik,113000.0,2.0,Bandung,User2113
ECM0057,2024-08-13,Lampu Meja LED,Rumah Tangga,88000.0,,Denpasar,User2710
ECM0271,2024-10-05,Teh Celup Premium,Makanan,37000.0,3.0,Balikpapan,User7066
ECM0240,2024-12-10,Topi Baseball,Fashion,37000.0,2.0,Balikpapan,User6245
ECM0414,2024-10-30,Case HP,Elektronik,20000.0,3.0,Denpasar,User2362
ECM0496,2024-06-03,Charger Fast Charging,Elektronik,96000.0,2.0,Bandung,User9752
ECM0138,2024-11-22,Case HP,Elektronik,26000.0,5.0,Kediri,User1954
ECM0095,2024-12-15,Topi Baseball,Fashion,42000.0,1.0,Malang,User5466
ECM0405,2024-09-02,Hoodie Unisex,Fashion,209000.0,1.0,Malang,User9680
ECM0244,2025-01-14,Teh Celup Premium,Makanan,28000.0,3.0,Surabaya,User4497
ECM0379,2024-06-02,Sandal Jepit,Fashion,29000.0,5.0,Malang,User6421
ECM0075,2024-06-20,Topi Baseball,Fashion,68000.0,1.0,Palembang,User7510
ECM0032,2024-09-16,Set Peralatan Masak,Rumah Tangga,362000.0,1.0,Balikpapan,User5162
ECM0481,2024-06-25,Hoodie Unisex,Fashion,99000.0,1.0,Bandung,User1847
ECM0384,2024-08-31,Hoodie Unisex,Fashion,167000.0,4.0,Kediri,User3122
ECM0482,2024-11-01,Keyboard Mekanik,Elektronik,298000.0,1.0,Malang,User1273
ECM0492,2025-01-11,Charger Fast Charging,Elektronik,65000.0,1.0,Jakarta,User8252
ECM0484,2024-08-24,Set Peralatan Masak,Rumah Tangga,183000.0,3.0,Denpasar,User6580
ECM0212,2024-12-30,Sandal Jepit,Fashion,21000.0,2.0,Bandung,User9289
ECM0321,2024-08-14,Teh Celup Premium,Makanan,20000.0,2.0,Palembang,User3961
ECM0402,2024-08-15,Granola Bar,Makanan,28000.0,4.0,Palembang,User9368
ECM0359,2024-07-23,Mouse Wireless,Elektronik,118000.0,4.0,Balikpapan,User7444
ECM0122,2024-11-30,Case HP,Elektronik,24000.0,1.0,Bandung,User2595
ECM0293,2024-09-09,Case HP,Elektronik,54000.0,2.0,Balikpapan,User1359
ECM0280,2024-06-29,Case HP,Elektronik,41000.0,1.0,Denpasar,User8084
ECM0202,2024-09-15,Sandal Jepit,Fashion,32000.0,1.0,Palembang,User8802
ECM0500,2025-01-13,Topi Baseball,Fashion,61000.0,2.0,Jakarta,User5346
ECM0163,2024-10-16,Minyak Zaitun 250ml,Makanan,114000.0,,Malang,User1997
ECM0360,2024-10-26,Topi Baseball,Fashion,62000.0,5.0,Surabaya,User8465
ECM0292,2024-06-11,Sandal Jepit,Fashion,51000.0,1.0,Jakarta,User2809
ECM0185,2024-12-17,Set Peralatan Masak,Rumah Tangga,259000.0,3.0,Bandung,User3248
ECM0102,2024-11-13,Set Peralatan Masak,Rumah Tangga,334000.0,3.0,Jakarta,User2894
ECM0055,2024-11-05,Lampu Meja LED,Rumah Tangga,63000.0,3.0,Kediri,User9526
ECM0056,2024-08-25,Teh Celup Premium,Makanan,25000.0,2.0,Bandung,User7144
ECM0439,2024-11-15,Case HP,Elektronik,54000.0,4.0,Bandung,User1039
ECM0042,2024-07-11,Case HP,Elektronik,57000.0,3.0,Palembang,User3040
ECM0204,2024-12-02,Topi Baseball,Fashion,38000.0,3.0,Malang,User6734
ECM0145,2024-11-13,Keyboard Mekanik,Elektronik,,1.0,Surabaya,User5854
ECM0422,2024-11-30,Topi Baseball,Fashion,47000.0,4.0,Palembang,User6140
ECM0181,2024-10-05,Lampu Meja LED,Rumah Tangga,102000.0,3.0,Balikpapan,User1148
ECM0171,2024-06-14,Sandal Jepit,Fashion,52000.0,4.0,Kediri,User5791
ECM0350,2024-08-20,Teh Celup Premium,Makanan,35000.0,3.0,Surabaya,User7195
ECM0156,2024-09-16,Sandal Jepit,Fashion,30000.0,2.0,Balikpapan,User8534
ECM0203,2024-07-19,Granola Bar,Makanan,20000.0,2.0,Surabaya,User5059
ECM0346,2024-09-09,Charger Fast Charging,Elektronik,88000.0,2.0,Balikpapan,User2128
ECM0229,2024-09-03,Case HP,Elektronik,36000.0,2.0,Malang,User7700
ECM0050,2024-10-20,Granola Bar,Makanan,19000.0,2.0,Jakarta,User4000
ECM0125,2024-10-13,Mouse Wireless,Elektronik,128000.0,5.0,Bandung,User1098
ECM0324,2024-07-06,Lampu Meja LED,Rumah Tangga,108000.0,1.0,Surabaya,User8952
ECM0012,2024-10-03,Sandal Jepit,Fashion,38000.0,,Jakarta,User8427
ECM0174,2024-12-18,Charger Fast Charging,Elektronik,90000.0,2.0,Bandung,User4241
ECM0241,2024-06-21,Mouse Wireless,Elektronik,136000.0,2.0,Surabaya,User6243
ECM0211,2024-12-06,Hoodie Unisex,Fashion,171000.0,5.0,Surabaya,User6993
ECM0151,2024-06-26,Hoodie Unisex,Fashion,170000.0,4.0,Jakarta,User3458
ECM0310,2025-01-12,Keyboard Mekanik,Elektronik,410000.0,4.0,Bandung,User5171
ECM0013,2024-09-16,Hoodie Unisex,Fashion,,4.0,Surabaya,User6517
ECM0467,2024-10-25,Hoodie Unisex,Fashion,138000.0,2.0,Malang,User8913
ECM0235,2024-11-25,Mouse Wireless,Elektronik,140000.0,4.0,Jakarta,User6172
ECM0103,2024-10-12,Set Peralatan Masak,Rumah Tangga,367000.0,5.0,Bandung,User6109
ECM0159,2024-07-09,Mouse Wireless,Elektronik,72000.0,2.0,Surabaya,User4360
ECM0200,2024-06-07,Charger Fast Charging,Elektronik,53000.0,5.0,Denpasar,User3582
ECM0296,2024-08-09,Keyboard Mekanik,Elektronik,282000.0,5.0,Malang,User7073
ECM0180,2024-10-27,Topi Baseball,Fashion,46000.0,4.0,Palembang,User6547
ECM0029,2024-11-25,Sandal Jepit,Fashion,21000.0,4.0,Malang,User8192
ECM0176,2024-07-10,Case HP,Elektronik,59000.0,2.0,Bandung,User4585
ECM0107,2024-06-19,Set Peralatan Masak,Rumah Tangga,365000.0,4.0,Malang,User1800
ECM0493,2024-12-06,Charger Fast Charging,Elektronik,105000.0,3.0,Palembang,User6549
ECM0205,2024-12-25,Granola Bar,Makanan,30000.0,4.0,Balikpapan,User2119
ECM0380,2024-12-07,Granola Bar,Makanan,25000.0,2.0,Denpasar,User4401
ECM0189,2024-11-29,Mouse Wireless,Elektronik,104000.0,1.0,Balikpapan,User9549
ECM0083,2024-06-20,Case HP,Elektronik,55000.0,4.0,Malang,User2797
ECM0334,2024-07-08,Mouse Wireless,Elektronik,70000.0,3.0,Bandung,User8400
ECM0053,2024-08-01,Lampu Meja LED,Rumah Tangga,89000.0,2.0,Malang,User5340
ECM0135,2024-07-03,Mouse Wireless,Elektronik,81000.0,5.0,Palembang,User1606
ECM0131,2024-12-27,Sandal Jepit,Fashion,39000.0,4.0,Bandung,User3967
ECM0197,2024-09-23,Hoodie Unisex,Fashion,164000.0,4.0,Malang,User8440
ECM0099,2024-07-02,Topi Baseball,Fashion,44000.0,1.0,Surabaya,User6162
ECM0273,2024-10-19,Minyak Zaitun 250ml,Makanan,124000.0,4.0,Jakarta,User3841
ECM0221,2024-10-09,Hoodie Unisex,Fashion,157000.0,5.0,Kediri,User6670
ECM0230,2025-01-09,Hoodie Unisex,Fashion,103000.0,3.0,Kediri,User2878
ECM0370,2024-12-03,Lampu Meja LED,Rumah Tangga,60000.0,1.0,Denpasar,User6912
ECM0415,2024-12-12,Sandal Jepit,Fashion,25000.0,4.0,Balikpapan,User3435
ECM0213,2024-08-14,Sandal Jepit,Fashion,48000.0,3.0,Denpasar,User7955
ECM0127,2024-09-29,Lampu Meja LED,Rumah Tangga,74000.0,2.0,Surabaya,User2115
ECM0376,2024-09-03,Lampu Meja LED,Rumah Tangga,87000.0,2.0,Denpasar,User4154
ECM0106,2024-06-16,Granola Bar,Makanan,15000.0,4.0,Jakarta,User9913
ECM0314,2024-06-30,Sandal Jepit,Fashion,34000.0,3.0,Malang,User8583
ECM0268,2024-07-25,Teh Celup Premium,Makanan,39000.0,1.0,Kediri,User1315
ECM0010,2024-11-18,Sandal Jepit,Fashion,27000.0,4.0,Surabaya,User4742
ECM0104,2024-07-11,Teh Celup Premium,Makanan,32000.0,1.0,Bandung,User7276
ECM0208,2024-09-07,Mouse Wireless,Elektronik,111000.0,5.0,Denpasar,User8527
ECM0220,2024-06-20,Topi Baseball,Fashion,,2.0,Kediri,User6298
ECM0078,2024-06-09,Charger Fast Charging,Elektronik,79000.0,5.0,Jakarta,User1891
ECM0343,2025-01-06,Case HP,Elektronik,32000.0,4.0,Jakarta,User3201
ECM0009,2025-01-04,Keyboard Mekanik,Elektronik,289000.0,2.0,Malang,User9431
ECM0219,2024-06-15,Charger Fast Charging,Elektronik,81000.0,2.0,Bandung,User3596
ECM0199,2025-01-09,Sandal Jepit,Fashion,44000.0,5.0,Malang,User2100
ECM0003,2024-08-12,Hoodie Unisex,Fashion,139000.0,3.0,Bandung,User7450
ECM0387,2024-11-11,Hoodie Unisex,Fashion,152000.0,2.0,Balikpapan,User9267
ECM0217,2024-10-19,Mouse Wireless,Elektronik,146000.0,2.0,Surabaya,User9385
ECM0258,2024-11-25,Case HP,Elektronik,,1.0,Bandung,User8585
ECM0278,2024-08-25,Topi Baseball,Fashion,44000.0,4.0,Palembang,User6903
ECM0267,2024-12-02,Teh Celup Premium,Makanan,22000.0,4.0,Surabaya,User5472
ECM0198,2024-10-27,Topi Baseball,Fashion,51000.0,3.0,Surabaya,User3354
ECM0026,2025-01-10,Case HP,Elektronik,50000.0,2.0,Jakarta,User5434
ECM0283,2024-10-17,Teh Celup Premium,Makanan,33000.0,4.0,Palembang,User9413
ECM0297,2024-12-28,Charger Fast Charging,Elektronik,89000.0,4.0,Jakarta,User9601
ECM0196,2024-06-04,Lampu Meja LED,Rumah Tangga,61000.0,5.0,Denpasar,User6927
ECM0465,2024-12-06,Keyboard Mekanik,Elektronik,418000.0,4.0,Kediri,User3699
ECM0348,2024-07-07,Set Peralatan Masak,Rumah Tangga,312000.0,5.0,Kediri,User1843
ECM0051,2024-09-22,Charger Fast Charging,Elektronik,91000.0,3.0,Denpasar,User2406
ECM0444,2024-07-17,Keyboard Mekanik,Elektronik,422000.0,2.0,Bandung,User6468
ECM0086,2024-06-10,Case HP,Elektronik,44000.0,2.0,Balikpapan,User1655
ECM0160,2024-09-30,Topi Baseball,Fashion,76000.0,5.0,Denpasar,User9870
ECM0165,2025-01-18,Topi Baseball,Fashion,53000.0,1.0,Jakarta,User9308
ECM0430,2024-08-19,Set Peralatan Masak,Rumah Tangga,248000.0,1.0,Denpasar,User1416
ECM0023,2024-06-17,Keyboard Mekanik,Elektronik,344000.0,1.0,Malang,User7882
ECM0063,2025-01-12,Case HP,Elektronik,25000.0,5.0,Bandung,User4314
ECM0453,2025-01-21,Hoodie Unisex,Fashion,182000.0,5.0,Malang,User6311
ECM0100,2024-10-18,Topi Baseball,Fashion,53000.0,,Malang,User2396
ECM0070,2024-10-04,Set Peralatan Masak,Rumah Tangga,216000.0,5.0,Bandung,User2106
ECM0390,2024-09-27,Granola Bar,Makanan,25000.0,4.0,Malang,User5150
ECM0187,2024-10-26,Charger Fast Charging,Elektronik,108000.0,3.0,Surabaya,User3876
ECM0354,2024-10-09,Lampu Meja LED,Rumah Tangga,63000.0,2.0,Kediri,User4045
ECM0183,2024-08-19,Hoodie Unisex,Fashion,192000.0,1.0,Denpasar,User1111
ECM0347,2024-06-06,Keyboard Mekanik,Elektronik,347000.0,3.0,Malang,User9618
ECM0252,2025-01-20,Granola Bar,Makanan,24000.0,4.0,Malang,User1662
ECM0113,2024-06-24,Charger Fast Charging,Elektronik,48000.0,2.0,Denpasar,User8976
ECM0341,2024-11-20,Hoodie Unisex,Fashion,120000.0,5.0,Palembang,User8936
ECM0206,2025-01-06,Charger Fast Charging,Elektronik,98000.0,2.0,Balikpapan,User5463
ECM0096,2024-06-08,Mouse Wireless,Elektronik,115000.0,5.0,Malang,User9575
ECM0152,2024-12-27,Set Peralatan Masak,Rumah Tangga,361000.0,3.0,Kediri,User5992
ECM0184,2024-09-30,Granola Bar,Makanan,28000.0,3.0,Bandung,User1000
ECM0383,2024-08-12,Mouse Wireless,Elektronik,115000.0,5.0,Jakarta,User2658
ECM0316,2024-10-28,Topi Baseball,Fashion,45000.0,1.0,Malang,User9013
ECM0030,2024-12-23,Charger Fast Charging,Elektronik,97000.0,4.0,Palembang,User4131
ECM0298,2024-11-25,Case HP,Elektronik,58000.0,5.0,Kediri,User1511
ECM0355,2024-07-09,Keyboard Mekanik,Elektronik,346000.0,5.0,Bandung,User6164
ECM0239,2024-11-14,Case HP,Elektronik,38000.0,4.0,Malang,User7710
ECM0131,2024-12-27,Sandal Jepit,Fashion,39000.0,4.0,Bandung,User3967
ECM0470,2024-12-10,Teh Celup Premium,Makanan,32000.0,1.0,Bandung,User1790
ECM0309,2024-09-07,Case HP,Elektronik,37000.0,2.0,Malang,User3887
ECM0460,2024-09-14,Case HP,Elektronik,33000.0,3.0,Surabaya,User3141
ECM0477,2024-11-13,Topi Baseball,Fashion,61000.0,1.0,Balikpapan,User7388
ECM0117,2024-12-01,Hoodie Unisex,Fashion,135000.0,4.0,Bandung,User3257
ECM0450,2024-09-09,Keyboard Mekanik,Elektronik,407000.0,5.0,Malang,User1770
ECM0087,2025-01-02,Minyak Zaitun 250ml,Makanan,110000.0,4.0,Jakarta,User1043
ECM0443,2024-07-05,Hoodie Unisex,Fashion,185000.0,1.0,Malang,User2289
ECM0275,2024-06-14,Hoodie Unisex,Fashion,150000.0,1.0,Balikpapan,User8569
ECM0323,2024-09-04,Set Peralatan Masak,Rumah Tangga,156000.0,3.0,Kediri,User1974
ECM0366,2024-09-22,Teh Celup Premium,Makanan,37000.0,3.0,Jakarta,User8421
ECM0047,2024-08-10,Minyak Zaitun 250ml,Makanan,64000.0,3.0,Palembang,User3326
ECM0004,2024-08-26,Sandal Jepit,Fashion,36000.0,3.0,Balikpapan,User1909
ECM0277,2024-07-08,Topi Baseball,Fashion,,2.0,Kediri,User1439
ECM0236,2024-10-26,Lampu Meja LED,Rumah Tangga,84000.0,3.0,Bandung,User6101
ECM0031,2025-01-21,Lampu Meja LED,Rumah Tangga,62000.0,4.0,Bandung,User4727
ECM0155,2025-01-17,Granola Bar,Makanan,29000.0,2.0,Palembang,User6321
ECM0305,2024-11-30,Charger Fast Charging,Elektronik,73000.0,3.0,Denpasar,User3207
ECM0403,2024-11-26,Set Peralatan Masak,Rumah Tangga,201000.0,3.0,Denpasar,User5920
ECM0052,2025-01-26,Teh Celup Premium,Makanan,33000.0,1.0,Balikpapan,User7875
ECM0037,2024-06-12,Granola Bar,Makanan,19000.0,2.0,Palembang,User2366
ECM0098,2025-01-23,Charger Fast Charging,Elektronik,64000.0,2.0,Denpasar,User3982
ECM0498,2024-12-21,Set Peralatan Masak,Rumah Tangga,287000.0,4.0,Surabaya,User9384
ECM0014,2025-01-09,Set Peralatan Masak,Rumah Tangga,236000.0,1.0,Jakarta,User6445
ECM0164,2025-01-17,Set Peralatan Masak,Rumah Tangga,,4.0,Kediri,User2684
ECM0059,2024-10-20,Topi Baseball,Fashion,66000.0,4.0,Jakarta,User1348
ECM0064,2024-08-11,Keyboard Mekanik,Elektronik,510000.0,3.0,Denpasar,User8520
ECM0234,2024-12-11,Topi Baseball,Fashion,43000.0,3.0,Palembang,User4517
ECM0299,2024-12-17,Minyak Zaitun 250ml,Makanan,92000.0,2.0,Surabaya,User8311
ECM0377,2024-06-28,Set Peralatan Masak,Rumah Tangga,335000.0,3.0,Denpasar,User6136
ECM0483,2024-06-10,Lampu Meja LED,Rumah Tangga,102000.0,1.0,Denpasar,User1811
ECM0266,2024-12-05,Sandal Jepit,Fashion,50000.0,2.0,Denpasar,User2592
ECM0447,2024-10-14,Lampu Meja LED,Rumah Tangga,96000.0,3.0,Jakarta,User2388
ECM0079,2024-07-08,Lampu Meja LED,Rumah Tangga,96000.0,4.0,Surabaya,User8742
ECM0046,2024-12-13,Hoodie Unisex,Fashion,137000.0,3.0,Surabaya,User1110
ECM0158,2024-06-13,Keyboard Mekanik,Elektronik,329000.0,2.0,Bandung,User8044
ECM0025,2024-11-19,Case HP,Elektronik,37000.0,1.0,Malang,User8256
ECM0318,2024-07-23,Hoodie Unisex,Fashion,210000.0,1.0,Kediri,User2074
ECM0257,2024-11-08,Sandal Jepit,Fashion,48000.0,,Bandung,User4692
ECM0426,2024-11-01,Case HP,Elektronik,30000.0,5.0,Denpasar,User1304
ECM0358,2024-12-14,Keyboard Mekanik,Elektronik,530000.0,3.0,Denpasar,User2748
ECM0425,2024-06-17,Case HP,Elektronik,26000.0,3.0,Kediri,User1572
ECM0290,2024-07-29,Teh Celup Premium,Makanan,31000.0,1.0,Bandung,User6758
ECM0353,2024-11-26,Keyboard Mekanik,Elektronik,540000.0,5.0,Jakarta,User6329
ECM0320,2024-07-09,Teh Celup Premium,Makanan,29000.0,1.0,Jakarta,User2752
ECM0123,2024-08-20,Topi Baseball,Fashion,79000.0,2.0,Jakarta,User7731
ECM0067,2024-08-19,Sandal Jepit,Fashion,29000.0,2.0,Balikpapan,User4492
ECM0195,2024-09-19,Mouse Wireless,Elektronik,63000.0,4.0,Jakarta,User6894
ECM0178,2024-07-07,Minyak Zaitun 250ml,Makanan,80000.0,,Denpasar,User9663
ECM0207,2025-01-11,Teh Celup Premium,Makanan,19000.0,2.0,Denpasar,User9481
ECM0128,2024-10-22,Keyboard Mekanik,Elektronik,367000.0,3.0,Palembang,User2992
ECM0349,2024-09-21,Minyak Zaitun 250ml,Makanan,114000.0,1.0,Surabaya,User9219
ECM0308,2024-08-31,Hoodie Unisex,Fashion,184000.0,2.0,Palembang,User3494
